word|occurrences|center
nli | 22|
inference | 43|
inference problem | 2|
inference algorithm | 2|
Cluster name: ||logistic regression
logistic regression baseline | 2|
logistic regression) | 2|
logistic regression models | 2|
logistic regression classifiers | 2|
logistic regression analysis | 2|
logistic regression model | 7|
logistic regression classifier | 6|
logistic regression | 43|
Cluster name: ||e commerce
e commerce websites | 3|
e commerce platform | 3|
e commerce scenarios | 3|
e commerce search | 2|
e commerce service | 2|
e commerce applications | 2|
e commerce platforms | 4|
e commerce product search | 2|
e commerce marketplace | 2|
e commerce customer service | 2|
e commerce business | 2|
e commerce domain | 8|
e commerce | 39|
Cluster name: ||training
training | 38|
Cluster name: ||artificial intelligence
artificial intelligence applications | 2|
artificial intelligence | 37|
ai | 31|
Cluster name: ||analysis
analysis | 36|
Cluster name: ||gender bias mitigation
reveal changing attitudes towards sexuality and gender | 1|
reducing gender bias | 4|
gender bias mitigation | 3|
detecting gender bias | 2|
evaluating gender bias | 2|
quantifying gender bias | 3|
mitigating gender bias | 6|
gender bias | 35|
gender debiasing | 2|
gender studies | 2|
gender bias amplification | 2|
gender discrimination | 2|
gender neutral modeling | 2|
Cluster name: ||pretrained models
pretrained models | 34|
pretrained model | 12|
pre trained model | 8|
pre trained models | 23|
pretrained multilingual models | 4|
multilingual pre trained models | 4|
Cluster name: ||normalization
normalization | 33|
Cluster name: ||umls
unified medical language system | 22|
umls | 32|
Cluster name: ||coreference resolution
resolving coreference | 2|
coreference resolution tasks | 2|
event sentence coreference identification | 2|
coreference resolution task | 3|
coreference resolution system | 4|
coreference models | 3|
coreference resolution systems | 4|
coreference | 9|
coreference resolution | 32|
Cluster name: ||data collection
vaccination corpus | 2|
annotated corpus | 2|
corpus | 2|
corpus collection | 2|
collection | 3|
data collection | 32|
Cluster name: ||hope speech detection
multilingual hope speech detection | 2|
hope speech | 2|
hope speech detection | 30|
Cluster name: ||text mining
text mining | 30|
Cluster name: ||elmo
elmo word embeddings | 2|
bioelmo | 2|
elmo embeddings | 8|
elmo | 29|
Cluster name: ||wordnet
sentiwordnet | 5|
wordnets | 3|
eurowordnet | 2|
wordnet based approach | 2|
wordnet | 27|
Cluster name: ||stance detection
stance prediction task | 2|
stance detection task | 2|
stance | 3|
stance classification task | 3|
rumour stance classification | 4|
stance prediction | 4|
stance classification | 15|
stance detection | 27|
Cluster name: ||healthcare
healthcare applications | 4|
health domain | 6|
healthcare domain | 7|
health | 12|
health applications | 23|
healthcare | 27|
health care | 10|
healthcare services | 3|
Cluster name: ||mental health
mental health | 26|
mental health research | 3|
mental health support | 3|
Cluster name: ||consumer health questions
consumer health question answering | 2|
consumer health question understanding | 2|
consumer health questions | 2|
Cluster name: ||public health application
public health application | 2|
public health surveillance | 6|
public health | 15|
public health domain | 2|
Cluster name: ||clpsych
clpsych 2018 shared task | 5|
clpsych shared task | 2|
clpsych 2015 shared task | 2|
clpsych 2016 shared task | 2|
clpsych 2019 shared task | 4|
clpsych 2021 shared task | 4|
Cluster name: ||psycholinguistics
psycholinguistics | 9|
psycholinguistic analysis | 2|
computational linguistics and clinical psychology | 5|
psychological theory | 3|
current and future psychological health | 2|
personality psychology | 2|
psychological studies | 2|
psychological processes | 2|
clinical psychology | 2|
psychological theories | 3|
cognitive psychology | 3|
psychotherapy | 5|
social psychology | 6|
psychology | 26|
predicting psychological health | 2|
Cluster name: ||psychiatric
psychiatric disorders | 2|
psychiatric diagnosis | 2|
Cluster name: ||active learning
active learning strategy | 2|
active learning strategies | 2|
active learning approach | 2|
active learning | 23|
Cluster name: ||ensemble methods
ensemble based system | 2|
ensemble of neural networks | 2|
model ensemble | 3|
ensemble classifier | 3|
ensemble methods | 4|
ensembles | 6|
ensemble learning | 8|
ensemble method | 8|
ensemble | 9|
ensemble approach | 19|
ensemble model | 23|
ensemble architecture | 2|
Cluster name: ||hybrid approach
hybrid approach | 24|
hybrid system | 9|
Cluster name: ||crowdsourcing
crowdsourcing approach | 2|
crowd sourcing | 5|
crowd annotations | 2|
crowdsourcing approaches | 2|
crowdsourcing methods | 2|
crowdsourcing platforms | 5|
crowdsourcing platform | 6|
crowdsourcing | 22|
Cluster name: ||feature engineering
semantic feature extraction | 2|
predictive features | 2|
feature combinations | 3|
manual feature engineering | 4|
feature representations | 6|
feature representation | 6|
feature selection | 18|
feature extraction | 22|
feature engineering | 21|
Cluster name: ||supervised learning
supervised ml methods | 2|
supervised | 3|
supervised and semi supervised settings | 3|
supervised learning setting | 3|
supervised machine learning models | 3|
supervised machine learning approaches | 3|
supervised learning models | 4|
supervised learning methods | 4|
supervised baselines | 4|
supervised machine learning techniques | 4|
supervised classifiers | 4|
supervised learning | 22|
supervised machine learning | 17|
Cluster name: ||rumor detection
detecting rumors | 3|
early rumor detection | 2|
rumor verification | 3|
rumor classification | 2|
rumor stance classification | 2|
rumor detection models | 2|
rumor identification | 2|
automatic rumor detection | 3|
rumor detection | 21|
rumor verification task | 2|
rumors | 2|
Cluster name: ||search engine
search engines | 20|
search engine | 21|
search | 19|
Cluster name: ||xlnet
xlnet model | 2|
xlnet | 20|
Cluster name: ||computational models
computational models | 21|
computational methods | 20|
computational approaches | 16|
Cluster name: ||word2vec
word2vec embedding | 2|
word2vec approaches | 2|
word2vec model | 2|
word2vec word embeddings | 2|
word2vec embeddings | 3|
word2vec | 18|
Cluster name: ||transliteration
transliteration) | 2|
transliterating | 2|
transliteration | 17|
Cluster name: ||unsupervised algorithm
unsupervised clustering | 3|
unsupervised technique | 3|
unsupervised systems | 3|
unsupervised algorithm | 3|
unsupervised fashion | 4|
unsupervised model | 4|
unsupervised learning | 6|
unsupervised models | 7|
unsupervised system | 7|
unsupervised manner | 7|
unsupervised approaches | 8|
unsupervised method | 14|
unsupervised approach | 16|
unsupervised methods | 17|
unsupervised setting | 3|
unsupervised pretraining | 3|
Cluster name: ||semantic role labelling
semantic role labelling | 3|
semantic role labeling | 17|
Cluster name: ||gpt
gpt | 2|
gpt2 | 4|
gpt 3 | 6|
gpt 2 | 17|
gpt 2 language model | 4|
Cluster name: ||rule based system
rule based system | 16|
rule based approach | 16|
rule based | 15|
Cluster name: ||zero shot learning
zero shot | 2|
zero shot dependency parsing | 2|
zero shot transfer | 6|
zero shot transfer learning | 2|
zero shot transfer setting | 2|
zero shot learning approach | 2|
zero shot capabilities | 2|
zero shot settings | 3|
zero shot cross lingual transfer | 8|
zero shot learning | 8|
zero shot setting | 8|
Cluster name: ||fairness
fairness | 10|
model fairness | 2|
measuring fairness | 2|
algorithmic fairness | 4|
Cluster name: ||multilingual models 
multilingual models | 28|
multilingual model | 22|
